Title,Artist,Count
Shake It Up,Trippie Redd,109688836
The Ghetto,Too $hort,10549323
Watch (feat. Lil Uzi Vert & Kanye West),Travis Scott,130595204
Herside Story,GoldLink,54373068
Weekend (feat. Miguel),Mac Miller,226487171
She Will,Lil Wayne,109430141
Both Eyes Closed (feat. 2 Chainz and Young Dolph),Gucci Mane,47725105
Head On,YoungBoy Never Broke Again,34206460
Playaz Club,Rappin' 4-Tay,12526112
I Want (feat. 2 Chainz),MadeinTYO,94692401
100's (feat. Chief Keef & A.E.),Tyga,11705506
Cyclone (feat. T-Pain) - Main,Baby Bash,46050913
Jus Lyke Compton,DJ Quik,6488932
The Game & Skrillex: El Chapo,The Game,129144620
Still D.R.E.,Dr. Dre,459756529
Not Alike (feat. Royce Da 5'9),Eminem,132048049
Saved,Ty Dolla $ign,127520378
Devil In A New Dress,Kanye West,57085437
Wing$,Macklemore & Ryan Lewis,102298200
Back To Back,Drake,273830822
Who Got Da Props,Black Moon,8622887
"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby,180200328
Real Hitta (feat. Kodak Black),Plies,26092105
GHOST,Jaden,67397970
FML,Kanye West,130296645
Blueberry Yum Yum,Ludacris,25880514
Crazy Rap (Colt 45 & 2 Zig Zags),Afroman,104496331
BUTTERFLY EFFECT,Travis Scott,612907126
Come Get Her,Rae Sremmurd,284117975
What They Want,Russ,284112012
Remember You (feat. Blackbear),G-Eazy,54417351
We The People....,A Tribe Called Quest,33150372
Low (feat. T-Pain),Flo Rida,311031145
This Is America,Childish Gambino,352833653
Buggin' Out,A Tribe Called Quest,24427416
Smile,Scarface,25879817
Keep It On The Real,3X Krazy,2846921
Man's Not Hot,Big Shaq,223041606
First Day Out,Tee Grizzley,205464920
I Got the Keys (feat. Jay-Z & Future),DJ Khaled,82889483
See You Again (feat. Charlie Puth),Wiz Khalifa,946251814
No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,358882156
CAROUSEL,Travis Scott,96270203
Planez,Jeremih,268021502
Telephone Calls,A$AP Mob,49254843
"Flava in Ya Ear Remix (feat. Notorious B.I.G., L.L. Cool J, Busta Rhymes, Rampage)",Craig Mack,41744791
U and Dat (feat. T. Pain & Kandi Girl),E-40,26560139
Somethin Tells Me,Bryson Tiller,59633959
Show Me (feat. Chris Brown),Kid Ink,221459357
Backyard Boogie,Mack 10,6772539
679 (feat. Remy Boyz),Fetty Wap,469766789
The Breaks,Kurtis Blow,9360503
I'm Goin In,Drake,53948045
Get Low featuring Ying Yang Twins,Lil Jon & The East Side Boyz,194498239
WIN,Jay Rock,68725391
F.B.G.M.,T-Pain,34542464
Set It Off,Bryson Tiller,23183912
Murder Was The Case (Death After Visualizing Eternity) (feat. Dat Nigga Daz),Snoop Dogg,23401731
Magnolia,Playboi Carti,346171450
4th Chamber,GZA,12593750
Leflaur Leflah Eshkoshka,Heltah Skeltah,5418015
The Ringer,Eminem,190419916
Money Showers,Fat Joe,19162543
LUST.,Kendrick Lamar,111358720
Slippery (feat. Gucci Mane),Migos,420484123
Black SpiderMan,Logic,97076044
Walked In,Bankroll Fresh,90308771
How To Love,Lil Wayne,144036223
Nobody Else but You,Trey Songz,135538070
Album of the Year - Freestyle,J. Cole,41413973
"If I'm Lyin, I'm Flyin",Kodak Black,50190664
TAlk tO Me (with Rich The Kid),Tory Lanez,94747560
Rain Come Down,Vince Staples,8872452
I Wanna Get High,Cypress Hill,18326063
Hypnotize - 2014 Remaster,The Notorious B.I.G.,365722585
Remember the Name (feat. Styles of Beyond),Fort Minor,331501388
F*ck Up Some Commas,Future,233656068
This D.J.,Warren G,31454829
L$D,A$AP Rocky,234536249
44 More,Logic,176743510
Many Men (Wish Death),50 Cent,96538177
Mockingbird,Eminem,384453972
Heartless (feat. Rick Ross & Bigga Rankin),YFN Lucci,28594979
Fine China,Future,201538839
Emotionless,Drake,117482685
3005,Childish Gambino,351560243
Live up to My Name,Baka Not Nice,73537902
It Ain't Hard to Tell,Nas,26339814
Collard Greens,ScHoolboy Q,217995888
In Da Club,50 Cent,426234240
Bounce Out With That,YBN Nahmir,221821249
All Falls Down,Kanye West,133495672
Passin' Me By,The Pharcyde,56077299
Stronger,Kanye West,615998231
Sound Is Vibration,Atmosphere,7193471
Body Like A Back Road,Sam Hunt,461116384
Too Hotty,Quality Control,75044587
High End (feat. Future & Young Thug),Chris Brown,41675004
Where The Hood At,DMX,124070721
Pull The Trigger,Russ,137762803
Call Me,NAV,101397659
Candy Shop,50 Cent,293299577
Guilty Conscience,Eminem,85318948
Beautiful,Snoop Dogg,99733035
Bank Account,21 Savage,649905087
Lotus Flower Bomb (feat. Miguel),Wale,79010773
Biking,Frank Ocean,86132841
Back In The Day,Ahmad Lewis,3167249
I'm On One,DJ Khaled,111854190
Family Don't Matter (feat. Millie Go Lightly),Young Thug,20178304
Just Another Case,Cru,1750593
Man Of The Year,ScHoolboy Q,208545139
Changes - Greatest Hits Version,2Pac,176962797
What's The Difference,Dr. Dre,147139592
Bodak Yellow,Cardi B,563926254
Esskeetit,Lil Pump,196831130
Drank in My Cup,Kirko Bangz,55484343
Bigger Than You (feat. Drake & Quavo),2 Chainz,114685714
Panda,Desiigner,850821957
Kill Jill (feat. Killer Mike & Jeezy),Big Boi,40714528
Leave Me,Rich The Kid,44356568
TATI,6ix9ine,155252489
Numb / Encore,JAY Z,419724898
Shame On a Nigga,Wu-Tang Clan,39568441
911 / Mr. Lonely,"Tyler, The Creator",124992252
I Must Be High,South Park Mexican,22863592
Valet (feat. Fetty Wap and 2 Chainz),Eric Bellinger,91053089
"Go Off (with Lil Uzi Vert, Quavo & Travis Scott)",Lil Uzi Vert,67099033
Go Flex,Post Malone,542935227
Take A Step Back,Ski Mask The Slump God,153491519
Protect Ya Neck,Wu-Tang Clan,43252421
Don't Believe The Hype,Public Enemy,8906234
Brooklyn Zoo,Ol' Dirty Bastard,17154484
Fuck You,Dr. Dre,43814665
rockstar (feat. 21 Savage),Post Malone,1737132754
SWISH,Tyga,211739312
ELEMENT.,Kendrick Lamar,253427379
Both (feat. Drake & Lil Wayne) - Remix,Gucci Mane,71580727
From The D To The A (feat. Lil Yachty),Tee Grizzley,171791437
Fashion Killa,A$AP Rocky,94376113
They Reminisce Over You (T.R.O.Y.),Pete Rock & C.L. Smooth,32977274
KOD,J. Cole,219229351
Bust Down,Trippie Redd,90917443
Dead And Gone (feat. Justin Timberlake),T.I.,117947303
ICY GRL,Saweetie,90686346
FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,513242521
Still Fly,Big Tymers,25855785
C.R.E.A.M.,Wu-Tang Clan,149645376
4 AM,2 Chainz,180590872
You Can Do It - Feat. Mack 10 And Ms Toi,Ice Cube,61012106
Champion (feat. Travis Scott),NAV,178299875
Ooh Ahh (My Life Be Like) (feat. Toby Mac),Grits,140270473
Only God Can Judge Me,2Pac,83805935
Who Do You Love?,YG,135192830
D.R.U.G.S.,Ab-Soul,13795423
Gimme the Loot - 2005 Remaster,The Notorious B.I.G.,53586552
Lord Pretty Flacko Jodye 2 (LPFJ2),A$AP Rocky,145989752
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,698879376
Hotline Bling,Drake,846722621
Who Want The Smoke? (feat. Cardi B & Offset),Lil Yachty,52887896
Neighbors,J. Cole,245051662
