Title,Artist,Rank,Peak Position,Last Position,Weeks
"Imma Star (Everywhere We Are)","Jeremih",52,51,54,11
"Welcome To The Future","Brad Paisley",53,53,62,9
"Small Town USA","Justin Moore",54,44,53,18
"I'm Alive","Kenny Chesney With Dave Matthews",55,55,64,7
"La La La","LMFAO",56,55,55,3
"Ice Cream Paint Job","Dorrough",57,27,52,19
"LOL :-)","Trey Songz Featuring Gucci Mane & Soulja Boy Tell'em",58,51,63,5
"Do I","Luke Bryan",59,59,65,5
"I Want To Know What Love Is","Mariah Carey",60,60,75,3
"Her Diamonds","Rob Thomas",61,23,56,20
"Smile","Uncle Kracker",62,47,59,9
"New Divide","Linkin Park",63,6,58,20
"Face Drop","Sean Kingston",64,64,70,4
"Doesn't Mean Anything","Alicia Keys",65,61,61,2
"The Fixer","Pearl Jam",66,56,57,6
"Uprising","Muse",67,37,66,4
"I'm Going In","Drake Featuring Lil Wayne & Young Jeezy",68,40,60,3
"Starstrukk","3OH!3 Featuring Katy Perry",69,69,73,7
"Love Your Love The Most","Eric Church",71,63,69,15
"Number One","R. Kelly Featuring Keri Hilson",72,72,80,6
"Wheels","Foo Fighters",73,73,0,1
"Funhouse","P!nk",74,74,97,2
"Runaway","Love And Theft",75,65,79,6
"Don't Stop Believin'","Glee Cast",76,4,0,5
"I Will Not Bow","Breaking Benjamin",77,40,67,5
"Careful","Paramore",78,78,0,1
"Under","Pleasure P",79,79,82,6
"You're A Jerk","New Boyz",80,24,77,16
"Fifteen","Taylor Swift",81,65,89,5
"Falling Down","Selena Gomez & The Scene",82,82,91,6
"Young Forever","Jay-Z + Mr. Hudson",83,41,72,4
"Sounds Like Life To Me","Darryl Worley",84,84,84,10
"Red Light","David Nail",85,85,95,2
"Break","Three Days Grace",86,86,93,4
"I'm In Miami Trick","LMFAO",87,51,81,19
"Maybe This Time","Glee Cast Featuring Kristin Chenoweth",88,88,0,1
"Live Like We're Dying","Kris Allen",89,89,0,1
"Bonfire","Craig Morgan",90,90,98,2
"I Wanna Make You Close Your Eyes","Dierks Bentley",91,91,0,1
"Check My Brain","Alice In Chains",92,92,94,3
"Living For The Night","George Strait",93,53,74,17
"Bad Habits","Maxwell",94,94,96,2
"I'll Just Hold On","Blake Shelton",95,76,78,14
"Consider Me Gone","Reba",96,96,0,1
"Boots On","Randy Houser",97,53,87,19
"Hey, Soul Sister","Train",98,98,0,1
"Trust","Keyshia Cole Duet With Monica",99,70,88,15
"Regret","LeToya Featuring Ludacris",100,100,0,1
"Fire Burning","Sean Kingston",38,5,42,21
"I'm Yours","Jason Mraz",48,6,49,76
"Taking Chances","Glee Cast",71,71,0,1
"Alright","Darius Rucker",76,30,71,20
"Happy","Leona Lewis",83,50,50,2
"Ego","Beyonce",86,39,77,17
"The One","Mary J. Blige Featuring Drake",90,63,73,10
"I Wanna","The All-American Rejects",92,92,95,2
"Summer Nights","Rascal Flatts",99,37,82,18
"Pursuit Of Happiness (Nightmare)","Kid Cudi Featuring MGMT & Ratatat",100,59,59,2
"Poker Face","Lady Gaga",43,1,49,40
"Every Girl","Young Money",79,10,64,20
"I Look To You","Whitney Houston",83,70,88,6
"We Weren't Born To Follow","Bon Jovi",90,90,0,1
"Make Her Say","Kid Cudi Featuring Kanye West & Common",93,43,68,15
"Come Back To Me","David Cook",97,63,97,19
"Last Chance","Ginuwine",98,63,87,16
"Closer To Love","Mat Kearney",100,91,0,7
"LoveGame","Lady Gaga",42,5,32,22
"The Climb","Miley Cyrus",45,4,42,28
"Take A Bow","Glee Cast",46,46,0,1
"People Are Crazy","Billy Currington",63,27,55,20
"Barefoot And Crazy","Jack Ingram",82,64,67,12
"Send It On","Disney's Friends For Change",83,20,63,5
"She Is Love","Parachute",89,66,79,7
"Two Is Better Than One","Boys Like Girls Featuring Taylor Swift",92,92,0,1
"Shake My","Three 6 Mafia Featuring Kalenna",95,75,75,3
"Wetter (Calling You Daddy)","Twista Featuring Erika Shevon",98,44,81,16
"Joey","Sugarland",99,89,89,3
"It's A Business Doing Pleasure With You","Tim McGraw",100,59,80,7
"Second Chance","Shinedown",48,7,42,41
"Haven't Met You Yet","Michael Buble",65,65,0,1
"Body Language","Jesse McCartney Featuring T-Pain",84,84,0,1
"Wild At Heart","Gloriana",93,53,72,15
"I Need A Girl","Trey Songz",96,59,86,16
"Million Dollar Bill","Whitney Houston",100,100,0,1
"Not Meant To Be","Theory Of A Deadman",68,55,73,21
"So Fine","Sean Paul",70,50,54,9
"Overcome","Creed",73,73,0,1
"(If You're Wondering If I Want You To) I Want You To","Weezer",82,82,0,1
"Magic","Selena Gomez",91,61,84,4
"Out Last Night","Kenny Chesney",92,16,83,20
"Radar","Britney Spears",97,88,88,3
"Chillin","Wale Featuring Lady Gaga",99,99,0,1
"Awake And Alive","Skillet",100,100,0,1
"Birthday Sex","Jeremih",39,4,28,20
"Halo","Beyonce",44,5,37,31
"Don't Trust Me","3OH!3",48,7,31,37
"Wanted","Jessie James",66,40,40,12
"Best Days Of Your Life","Kellie Pickler",81,46,77,20
"Jump","Flo Rida Featuring Nelly Furtado",85,54,69,6
"Here We Go Again","Demi Lovato",89,15,87,9
"Hush Hush","The Pussycat Dolls Featuring Nicole Scherzinger",93,73,84,9
"Sound Of Madness","Shinedown",94,85,95,9
"When Love Takes Over","David Guetta Featuring Kelly Rowland",100,76,0,9
"If Today Was Your Last Day","Nickelback",45,19,32,22
"You Found Me","The Fray",46,7,41,39
"Love Story","Taylor Swift",49,4,46,49
"Hot Mess","Cobra Starship",64,64,0,1
"Sideways","Dierks Bentley",81,35,73,20
"I Do Not Hook Up","Kelly Clarkson",94,20,82,18
"Daylight","Matt And Kim",97,95,0,2
"Show Me What I'm Looking For","Carolina Liar",99,67,85,18
"That's Not My Name","The Ting Tings",48,39,41,26
"I Run To You","Lady Antebellum",49,27,40,21
"Celebration","Madonna",71,71,0,1
"Goodbye","Kristinia DeBarge",79,15,59,16
"Digital Girl","Jamie Foxx Featuring Drake, Kanye West + The-Dream",92,92,0,1
"Remember Me","T.I. Featuring Mary J. Blige",94,29,29,2
"He Could Be The One","Hannah Montana",96,10,71,5
"D.O.A. (Death Of Auto-Tune)","JAY-Z",97,24,86,7
"Then","Brad Paisley",61,28,54,20
"Always Strapped","Birdman Featuring Lil Wayne",83,54,72,17
"Sooner Or Later","Michelle Branch",93,93,0,1
"I Just Call You Mine","Martina McBride",97,97,0,1
"Ain't No Rest For The Wicked","Cage The Elephant",99,92,92,8
"Right Round","Flo Rida",43,1,42,26
"Whatever It Is","Zac Brown Band",45,26,39,20
"Kiss A Girl","Keith Urban",71,16,77,20
"Strange","Reba",84,76,82,9
"Know Your Enemy","Green Day",88,28,84,15
"Catch Me","Demi Lovato",89,89,0,1
"Walkin' On The Moon","The-Dream Featuring Kanye West",91,87,100,9
"Too Many Rappers","Beastie Boys Featuring Nas",93,93,0,1
"Beautiful","Eminem",94,17,98,6
"Day 'N' Nite","Kid Cudi",43,3,42,27
"Blame It","Jamie Foxx Featuring T-Pain",45,2,34,27
"Gives You Hell","The All-American Rejects",50,4,46,36
"Turn My Swag On","Soulja Boy Tell'em",69,19,64,20
"Come Home","OneRepublic With Sara Bareilles",80,80,0,1
"Sugar","Flo Rida Featuring Wynter",90,5,80,18
"If It Kills Me","Jason Mraz",92,92,0,1
"It Happens","Sugarland",93,33,90,20
"Boyfriend #2","Pleasure P",94,42,86,18
"You Don't Belong","Daughtry",95,95,0,1
"Swag Surfin'","F.L.Y. (Fast Life Yungstaz)",97,62,89,11
"Just Dance","Lady Gaga Featuring Colby O'Donis",48,1,42,49
"All The Above","Maino Featuring T-Pain",58,39,55,20
"Ignorance","Paramore",67,67,0,1
"I Wanna Know You","Hannah Montana Featuring David Archuleta",74,74,0,1
"Ice Cream Freeze (Let's Chill)","Hannah Montana",87,87,0,1
"Shining Down","Lupe Fiasco Featuring Matthew Santos",93,93,0,1
"One And The Same","Selena Gomez & Demi Lovato",82,82,0,1
"Lost You Anyway","Toby Keith",85,69,69,10
"Paranoid","Jonas Brothers",88,37,70,7
"Sissy's Song","Alan Jackson",93,61,74,13
"Halle Berry (She's Fine)","Hurricane Chris Featuring SupaSTAAR",94,52,83,10
"Careless Whisper","Seether",95,63,86,18
"It's America","Rodney Atkins",96,44,99,20
"One In Every Crowd","Montgomery Gentry",99,53,88,17
"My Life Would Suck Without You","Kelly Clarkson",44,1,48,24
"Kiss Me Thru The Phone","Soulja Boy Tell 'em Featuring Sammie",50,3,47,27
"If U Seek Amy","Britney Spears",64,19,56,20
"I'm On A Boat","The Lonely Island Featuring T-Pain",78,56,64,20
"Take Me On The Floor","The Veronicas",81,81,0,2
"Funny The Way It Is","Dave Matthews Band",92,37,87,8
"Echo","Gorilla Zoe",97,57,78,9
"Dead And Gone","T.I. Featuring Justin Timberlake",50,2,40,29
"Damned If I Do Ya (Damned If I Don't)","All Time Low",67,67,0,1
"Fly With Me","Jonas Brothers",83,83,0,1
"We Made You","Eminem",85,9,56,10
"Imma Be","The Black Eyed Peas",88,50,0,2
"How Do You Sleep?","Jesse McCartney Featuring Ludacris",93,26,67,20
"Beggin'","Madcon",94,79,89,10
"Where I'm From","Jason Michael Carroll",97,64,81,11
"Welcome To The World","Kevin Rudolf Featuring Rick Ross",72,58,60,9
"Hey","Mitchel Musso",82,70,70,2
"sobeautiful","Musiq Soulchild",84,84,89,11
"Here Comes Goodbye","Rascal Flatts",91,11,86,16
"On The Ocean","K'Jon",96,96,98,2
"I Told You So","Carrie Underwood Featuring Randy Travis",100,9,87,18
"1, 2, 3, 4","Plain White T's",47,34,50,20
"No Boundaries","Kris Allen",78,11,23,3
"Heartless","Kris Allen",84,16,33,3
"I Love College","Asher Roth",90,12,90,17
"Hoedown Throwdown","Miley Cyrus",96,18,88,13
"Ain't I","Yung L.A. Featuring Young Dro & T.I.",97,47,96,19
"Mad World","Adam Lambert",100,19,44,3
"She's Country","Jason Aldean",49,29,49,20
"Heartless","Kanye West",51,2,48,30
"Permanent","David Cook",72,24,24,2
"Amazing","Kanye West Featuring Young Jeezy",86,81,99,5
"Always The Love Songs","Eli Young Band",89,69,81,11
"Ain't No Sunshine","Kris Allen",94,37,37,2
"No Boundaries","Adam Lambert",95,72,72,2
"If This Isn't Love","Jennifer Hudson",97,63,0,13
"Love Sex Magic","Ciara Featuring Justin Timberlake",98,10,89,12
"Never Ever","Ciara Featuring Young Jeezy",99,66,100,15
"Note To God","Charice",44,44,0,1
"A Change Is Gonna Come","Adam Lambert",56,56,0,1
"Apologize","Kris Allen",66,66,0,1
"Lucky","Jason Mraz & Colbie Caillat",71,48,62,20
"Home Sweet Home","Carrie Underwood",79,21,0,3
"One","Adam Lambert",82,82,0,1
"Insane","Eminem",85,85,0,1
"Falling Slowly","Kris Allen",94,94,0,1
"Rehab","Glee Cast",98,98,0,1
"Turnin Me On","Keri Hilson Featuring Lil Wayne",44,15,36,22
"Sober","P!nk",45,15,37,25
"Mad","Ne-Yo",50,11,35,24
"Heartless","The Fray",79,79,0,1
"Magnificent","Rick Ross Featuring John Legend",86,62,75,11
"It Won't Be Like This For Long","Darius Rucker",88,36,80,20
"Crazier","Taylor Swift",90,17,66,8
"Old Time's Sake","Eminem Featuring Dr. Dre",93,25,25,2
"I'm Just Here For The Music","Paula Abdul",97,87,87,2
"Jai Ho! (You Are My Destiny)","A R Rahman & The Pussycat Dolls Featuring Nicole Scherzinger",98,15,88,13
"Epiphany (I'm Leaving)","Chrisette Michele",99,89,89,3
"Rockin' That Thang","The-Dream",46,22,41,20
"Stanky Legg","GS Boyz",77,49,69,14
"You Can Get It All","Bow Wow Featuring Johnta Austin",85,55,70,10
"Crack A Bottle","Eminem, Dr. Dre & 50 Cent",86,1,76,17
"Don't Think I Can't Love You","Jake Owen",95,57,88,15
"Don't Forget","Demi Lovato",97,41,83,9
"Next To You","Mike Jones",98,71,86,10
"There Goes My Baby","Charlie Wilson",100,98,98,2
"3am","Eminem",32,32,0,1
"Beautiful","Akon Featuring Colby O'Donis & Kardinal Offishall",40,19,31,22
"Circus","Britney Spears",48,3,42,22
"America's Suitehearts","Fall Out Boy",78,78,0,1
"Fearless","Taylor Swift",95,9,0,5
"The Fear","Lily Allen",96,80,88,10
"Diva","Beyonce",99,19,89,20
"Soulmate","Natasha Bedingfield",100,96,96,2
"Let It Rock","Kevin Rudolf Featuring Lil Wayne",45,5,41,35
"Viva La Vida","Coldplay",48,1,45,51
"Hot N Cold","Katy Perry",50,3,43,39
"Candle (Sick And Tired)","The White Tie Affair",81,57,69,8
"Butterfly Fly Away","Miley Cyrus & Billy Ray Cyrus",86,56,56,3
"Nothin' To Die For","Tim McGraw",90,68,75,11
"Maybach Music 2","Rick Ross Featuring Kanye West, T-Pain & Lil' Wayne",92,92,0,1
"Imma Put It On Her","DAY26 Featuring P. Diddy & Yung Joc",93,79,79,3
"She Got Her Own","Ne-Yo Featuring Jamie Foxx & Fabolous",94,54,96,20
"Lark On My Go-Kart","Asher Roth",95,95,0,1
"Thinking Of You","Katy Perry",97,29,84,15
"River Of Love","George Strait",100,59,93,20
"Single Ladies (Put A Ring On It)","Beyonce",50,1,47,27
"Let's Get Crazy","Hannah Montana",80,57,75,3
"You'll Always Find Your Way Back Home","Hannah Montana",81,81,88,4
"Shuttin' Detroit Down","John Rich",87,75,76,8
"Move (If You 'W'anna)","Mims",91,61,77,13
"Panic Switch","Silversun Pickups",92,92,0,1
"Ride","Martina McBride",98,82,87,8
"It's Alright, It's OK","Ashley Tisdale",99,99,0,1
"White Horse","Taylor Swift",44,13,39,22
"I Hate This Part","The Pussycat Dolls",51,11,38,20
"Unstoppable","Rascal Flatts",80,80,0,1
"Untouched","The Veronicas",81,17,72,20
"You Complete Me","Keyshia Cole",93,62,86,10
"Prom Queen","Lil Wayne Featuring Shanell AKA SNL",94,15,91,11
"Kids","MGMT",96,91,99,6
"My Love","The-Dream Featuring Mariah Carey",97,82,100,4
"Marry For Money","Trace Adkins",98,98,0,3
"Just Like Me","Jamie Foxx Featuring T.I.",99,49,93,18
"Live Your Life","T.I. Featuring Rihanna",48,1,45,28
"Gotta Be Somebody","Nickelback",50,10,47,27
"God Love Her","Toby Keith",79,36,78,20
"Things That Matter","Rascal Flatts",85,85,0,1
"Lifeline","Papa Roach",88,81,81,2
"Hot Revolver","Lil Wayne",92,33,38,3
"Down The Road","Kenny Chesney With Mac McAnally",98,47,95,18
"Love Who You Love","Rascal Flatts",59,59,0,1
"Sweet Thing","Keith Urban",62,30,50,20
"Cowgirls Don't Cry","Brooks & Dunn Featuring Reba McEntire",77,44,64,20
"Lions, Tigers & Bears","Jazmine Sullivan",96,74,82,8
"So What","P!nk",49,1,46,31
"Forever","Rascal Flatts",53,53,0,1
"Beep","Bobby V Featuring Yung Joc",80,55,61,12
"I'm In","Keith Urban",94,94,0,1
"You're Not Sorry","Taylor Swift",95,11,40,5
"Lost","Gorilla Zoe",96,71,95,11
"Last Call","Lee Ann Womack",83,77,77,9
"Angels On The Moon","Thriving Ivory",90,75,84,9
"Lollipop","Framing Hanley",91,82,95,10
"Freeze","T-Pain Featuring Chris Brown",93,38,78,10
"Want It, Need It","Plies Featuring Ashanti",96,96,0,1
"Whatever You Like","T.I.",40,1,35,31
"Womanizer","Britney Spears",45,1,40,23
"Chicken Fried","Zac Brown Band",50,20,43,25
"Sex On Fire","Kings Of Leon",58,56,62,20
"She Wouldn't Be Gone","Blake Shelton",68,43,67,20
"Magnificent","U2",79,79,0,1
"I Will Be","Leona Lewis",80,66,70,6
"Don't","Billy Currington",86,52,91,20
"Country Boy","Alan Jackson",92,49,94,19
"More Like Her","Miranda Lambert",100,90,95,8
"Green Light","John Legend Featuring Andre 3000",39,24,35,26
"Disturbia","Rihanna",45,1,37,37
"Hold Up My Heart","Brooke White",47,47,0,1
"Miss Independent","Ne-Yo",49,7,41,28
"Feel That Fire","Dierks Bentley",50,32,45,21
"Shone","Flo Rida Featuring Pleasure P",57,57,0,1
"Pop Champagne","Jim Jones & Ron Browz Featuring Juelz Santana",60,22,53,20
"Tonight","Jonas Brothers",71,8,89,4
"I'm So Paid","Akon Featuring Lil Wayne & Young Jeezy",75,31,63,20
"Love Is On Its Way","Jonas Brothers",84,84,0,1
"One More Drink","Ludacris Co-Starring T-Pain",87,24,70,18
"O... Saya","M.I.A. & A R Rahman",93,93,0,1
"Get On Your Boots","U2",96,37,0,3
"Rehab","Rihanna",97,18,81,17
"Wavin' Flag","K'Naan",99,99,0,1
"Love Lockdown","Kanye West",42,3,38,23
"Right Now (Na Na Na)","Akon",44,8,42,22
"Light On","David Cook",48,17,47,20
"If I Were A Boy","Beyonce",68,3,58,20
"Chasing Pavements","Adele",72,21,21,7
"I Get It In","50 Cent",78,53,53,2
"Lost!","Coldplay With Jay-Z",83,40,40,5
"My President","Young Jeezy Featuring Nas",87,53,76,6
"F*ck You","Lily Allen",88,68,68,2
"Break My Heart","Spectacular! Cast",95,95,0,1
"Chopped 'N' Skrewed","T-Pain Featuring Ludacris",97,27,85,19
"Trading Places","Usher",99,45,89,17
"Human","The Killers",70,32,60,20
"La La Land","Demi Lovato",95,52,88,8
"IfULeave","Musiq Soulchild Featuring Mary J. Blige",98,71,87,12
"Put It On Ya","Plies Featuring Chris J",100,31,84,13
"Better In Time","Leona Lewis",49,11,47,31
"Absolute","The Fray",70,70,0,1
"Top Of The World","The Pussycat Dolls",79,79,0,1
"You're Gonna Go Far, Kid","The Offspring",85,63,83,18
"Decode","Paramore",92,33,68,14
"Working On A Dream","Bruce Springsteen",95,95,0,1
"Playa Cardz Right","Keyshia Cole Featuring 2Pac",98,63,85,13
"Addicted","Saving Abel",48,20,40,34
"Krazy","Pitbull Featuring Lil Jon",76,30,83,19
"Let Me","Pat Green",81,81,99,2
"Tell Me Something I Don't Know","Selena Gomez",87,58,58,4
"Already Gone","Sugarland",88,41,72,19
"Start A Band","Brad Paisley Duet With Keith Urban",89,55,69,16
"Broken","Lifehouse",93,83,92,15
"I Don't Care","Apocalyptica Featuring Adam Gontier",95,78,90,16
"In Color","Jamey Johnson",97,52,80,18
"Keeps Gettin' Better","Christina Aguilera",99,7,76,18
"I Don't Care","Fall Out Boy",66,21,56,20
"At Last","Beyonce",67,67,0,1
"Roll With Me","Montgomery Gentry",75,33,60,20
"It's A New Day","will.i.am",84,78,0,2
"Here","Rascal Flatts",95,50,73,17
"Bad Girlfriend","Theory Of A Deadman",98,75,91,17
"Swagga Like Us","Jay-Z & T.I. Featuring Kanye West & Lil Wayne",100,5,80,20
"Crush","David Archuleta",39,2,47,23
"Mrs. Officer","Lil Wayne Featuring Bobby Valentino & Kidd Kidd",40,16,34,22
"Shattered (Turn The Car Around)","O.A.R.",46,36,41,24
"Bust Your Windows","Jazmine Sullivan",86,31,79,15
"Seventeen Forever","Metro Station",87,42,77,6
"About You Now","Miranda Cosgrove",90,47,84,4
"Lookin' For A Good Time","Lady Antebellum",94,67,83,15
"Without You","Hinder",95,85,89,9
"All Summer Long","The Rock Heroes",100,29,90,15
"Can't Believe It","T-Pain Featuring Lil Wayne",40,7,31,24
"Closer","Ne-Yo",50,7,43,39
"Pen & Paper (Something Typical)","The Red Jumpsuit Apparatus",75,75,0,1
"Come On Get Higher","Matt Nathanson",78,59,67,20
"Right Here (Departed)","Brandy",92,34,81,18
"Arab Money","Busta Rhymes Featuring Ron Browz",96,86,97,6
"When It Hurts","Avant",97,91,0,3
"Universal Mind Control","Common Featuring Pharrell",98,62,84,6
"Go Hard","DJ Khaled Featuring Kanye West & T-Pain",100,69,0,2
"Fall For You","Secondhand Serenade",42,21,36,30
"Love Remains The Same","Gavin Rossdale",46,27,50,31
"Lovebug","Jonas Brothers",66,49,49,14
"Fly On The Wall","Miley Cyrus",91,84,84,2
"Everybody Wants To Go To Heaven","Kenny Chesney With The Wailers",94,41,0,20
"T-Shirt","Shontelle",98,36,79,17
"J**z In My Pants","The Lonely Island",72,72,0,1
"See You In My Nightmares","Kanye West Featuring Lil Wayne",92,21,0,4
"Just A Dream","Carrie Underwood",72,29,61,20
"My Life","The Game Featuring Lil Wayne",74,21,64,20
"Run","Leona Lewis",81,81,0,1
"Let It Go","Tim McGraw",82,47,68,15
"What About Now","Daughtry",85,18,85,20
"Anything Goes","Randy Houser",98,92,92,5
"Spotlight","Jennifer Hudson",47,24,38,21
"Swing","Savage Featuring Soulja Boy Tell'em",69,45,62,20
"Get Up","50 Cent",94,44,84,9
"Love Remembers","Craig Morgan",97,73,81,9
"No Me Doy Por Vencido","Luis Fonsi",100,92,99,9
"Forever","Chris Brown",45,2,39,33
"Shattered Glass","Britney Spears",70,70,0,1
"So Fly","Slim Featuring Yung Joc",92,49,77,15
"Paper Planes","M.I.A.",45,4,39,20
"Got Money","Lil Wayne Featuring T-Pain",48,10,49,27
"Last Of A Dying Breed","Ludacris Co-Starring Lil Wayne",65,65,0,1
"Need U Bad","Jazmine Sullivan",81,37,64,20
"Chinese Democracy","Guns N' Roses",82,34,75,3
"What Them Girls Like","Ludacris Co-Starring Chris Brown & Sean Garrett",92,33,99,14
"Leave Out All The Rest","Linkin Park",94,94,0,2
"I'd Come For You","Nickelback",95,44,44,2
"Do You Believe Me Now","Jimmy Wayne",96,36,86,20
"Don't Think I Don't Think About It","Darius Rucker",52,35,48,20
"Never Gonna Be Alone","Nickelback",68,68,0,1
"Waitin' On A Woman","Brad Paisley",80,44,66,20
"Another Way to Die","Jack White & Alicia Keys",82,81,81,2
"She Never Cried In Front Of Me","Toby Keith",85,42,77,20
"I'll Walk","Bucky Covington",88,70,83,8
"Ride","Ace Hood Featuring Trey Songz",90,90,0,1
"Did You Wrong","Pleasure P",96,90,0,4
"One Step At A Time","Jordin Sparks",46,17,41,21
"Forever & Always","Taylor Swift",49,49,0,1
"All Summer Long","Kid Rock",65,23,64,20
"The Way I Loved You","Taylor Swift",72,72,0,1
"Breathe","Taylor Swift Featuring Colbie Caillat",87,87,0,1
"Hey Stephen","Taylor Swift",94,94,0,1
"Troublemaker","Akon Featuring Sweet Rush",97,97,0,1
"In The Ayer","Flo Rida Featuring will.i.am",46,9,39,21
"Bleeding Love","Leona Lewis",47,1,45,39
"American Boy","Estelle Featuring Kanye West",48,9,40,30
"Dangerous","Kardinal Offishall Featuring Akon",50,5,43,27
"Spaceman","The Killers",67,67,0,1
"Bartender Song","Rehab",75,64,72,20
"Too Drunk...","Buckcherry",96,96,0,1
"Angel","Natasha Bedingfield",97,63,68,8
"Now Or Never","High School Musical 3 Cast",85,68,68,3
"Angels","David Archuleta",89,89,0,1
"It's Over","Jesse McCartney",91,62,70,5
"Country Man","Luke Bryan",93,74,83,9
"The Day That Never Comes","Metallica",95,31,92,10
"Something In Your Mouth","Nickelback",96,96,0,1
"Cuddy Buddy","Mike Jones Featuring Trey Songz & Twista",97,76,76,3
"Can I Have This Dance","Zac Efron & Vanessa Hudgens",98,98,100,2
"Shake It","Metro Station",50,10,47,30
"Body On Me","Nelly Featuring Ashanti & Akon",90,42,73,15
"Lloro Por Ti","Enrique Iglesias",91,91,0,1
"Superwoman","Alicia Keys",94,82,93,7
"All I Ever Wanted","Chuck Wicks",98,86,86,4
"Put On","Young Jeezy Featuring Kanye West",53,12,51,20
"Johnny & June","Heidi Newfield",82,58,62,15
"Cry For You","September",88,74,79,10
"You Are The Best Thing","Ray LaMontagne",90,90,0,1
"Be OK","Ingrid Michaelson",91,91,0,1
"What A Catch, Donnie","Fall Out Boy",94,94,0,1
"Troubadour","George Strait",98,54,77,15
"I Still Miss You","Keith Anderson",99,48,92,19
"Magic","Robin Thicke",100,59,80,17
"Take A Bow","Rihanna",45,1,38,27
"I Kissed A Girl","Katy Perry",46,1,36,23
"Pocketful Of Sunshine","Natasha Bedingfield",50,5,47,35
"When I Grow Up","The Pussycat Dolls",56,9,50,20
"Headfirst Slide Into Cooperstown On A Bad Bet","Fall Out Boy",74,74,0,1
"The Business","Yung Berg Featuring Casha",76,33,65,14
"Please Excuse My Hands","Plies Featuring Jamie Foxx & The-Dream",89,66,71,12
"The Shock Of The Lightning","Oasis",93,93,0,1
"You Look Good In My Shirt","Keith Urban",94,44,98,17
"Out Here Grindin","DJ Khaled Feat. Akon, Plies, Young Jeezy, Rick Ross, Ace Hood, Trick Daddy & Lil' Boosie",98,38,87,15
"Burnin' Up","Jonas Brothers",99,5,84,16
"Leavin'","Jesse McCartney",44,10,34,24
"The Time Of My Life","David Cook",53,3,49,20
"Go Girl","Ciara Featuring T-Pain",78,78,0,1
"All I Want To Do","Sugarland",83,18,79,16
"Should've Said No","Taylor Swift",90,33,82,20
"Energy","Keri Hilson",92,78,91,9
"Baby","LL Cool J Featuring The-Dream",97,52,73,11
"A Milli","Lil Wayne",41,6,30,23
"Get Like Me","David Banner Featuring Chris Brown",48,16,40,21
"Ready For Whatever","T.I.",57,57,0,1
"Lolli Lolli (Pop That Body)","Three 6 Mafia Featuring Project Pat, Young D & Superpower",65,18,56,20
"Check Yes Juliet (Run Baby Run)","WE the Kings",85,70,77,11
"Shut Up And Let Me Go","The Ting Tings",89,55,80,11
"Mr. Carter","Lil Wayne Featuring Jay-Z",93,62,92,17
"Holler Back","The Lost Trailers",94,66,81,13
"Here I Am","Rick Ross Featuring Nelly & Avery Storm",96,41,72,14
"That's What You Get","Paramore",97,66,86,17
"Cookie Jar","Gym Class Heroes Featuring The-Dream",98,59,74,5
"On The Line","Demi Lovato Featuring Jonas Brothers",100,100,0,1
"Lollipop","Lil Wayne Featuring Static Major",47,1,45,28
"Just Stand Up!","Artists Stand Up To Cancer",70,11,36,4
"Thunder","Boys Like Girls",90,76,86,13
"Good Time","Alan Jackson",94,40,89,20
"I'd Rather Be With You","Joshua Radin",97,82,82,2
"Get Back","Demi Lovato",98,43,93,6
"If I Never See Your Face Again","Maroon 5 Featuring Rihanna",99,51,90,20
"Heaven Sent","Keyshia Cole",72,28,67,20
"All Summer Long","Hit Masters",88,19,63,5
"Corona And Lime","Shwayze",91,23,82,8
"7 Things","Miley Cyrus",94,9,83,15
"Free Fallin'","John Mayer",99,51,97,10
"It's Not My Time","3 Doors Down",43,17,43,29
"I Luv Your Girl","The-Dream",49,20,38,20
"Cyanide","Metallica",50,50,0,1
"What Up, What's Haapnin'","T.I.",84,84,0,1
"Swing Ya Rag","T.I. Featuring Swizz Beatz",92,62,62,2
"American Boy","Studio All-Stars",93,52,52,3
"Mercy","Duffy",95,27,97,20
"Never Would Have Made It","Marvin Sapp",99,82,98,13
"No Air","Jordin Sparks Duet With Chris Brown",50,3,43,35
"My Apocalypse","Metallica",67,67,0,1
"Take You Down","Chris Brown",90,43,77,20
"I'll Be Lovin' U Long Time","Mariah Carey",91,58,75,8
"Gunpowder And Lead","Miranda Lambert",94,52,89,17
"Believe","Staind",96,83,83,3
"Change","Taylor Swift",100,10,39,3
"Dreamer","Chris Brown",41,16,16,2
"Bust It Baby Part 2","Plies Featuring Ne-Yo",45,7,38,22
"Handlebars","Flobots",54,37,44,20
"Home","Blake Shelton",88,41,75,20
"Put A Girl In It","Brooks & Dunn",91,54,70,13
"Girls Around The World","Lloyd Featuring Lil Wayne",95,64,86,14
"Marco Polo","Bow Wow Featuring Soulja Boy Tell'em",99,66,95,3
"Teenage Love Affair","Alicia Keys",100,54,97,16
"What You Got","Colby O'Donis Featuring Akon",49,14,40,25
"BB Good","Jonas Brothers",88,88,0,1
"Lookin Boy","Hot Stylz Featuring Yung Joc",89,47,70,11
"Last Name","Carrie Underwood",90,19,82,20
"Real","Goo Goo Dolls",92,92,0,1
"Warrior","Nelly",96,96,0,1
"Something Special","Colbie Caillat",98,98,0,1
"Get Silly","V.I.C.",99,29,67,17
"Breakout","Miley Cyrus",100,56,77,4
"A Little Bit Longer","Jonas Brothers",11,11,0,1
